,name,Land,Maschinennummer,Nettowert,Menge,Verkaufsbeleg,latitude,longitude
0,United Kingdom,GBR,0,124720.28,2277.0,235,55.378051,-3.435973
1,Austria,AUT,0,83569.73,1273.0,267,47.516231,14.550072
2,United States of America,USA,0,34085.11,854.0,117,37.09024,-95.712891
3,Germany,DEU,0,24552.38,549.0,99,51.165691,10.451526
4,Poland,POL,0,16889.31,441.0,135,51.919438,19.145136
5,Netherlands,NLD,0,12028.28,267.0,38,52.132633,5.291266
6,United States of America,USA,6005531,9276.75,620.0,1,37.09024,-95.712891
7,Israel,ISR,0,7323.66,281.0,52,31.046051,34.851612
8,Austria,AUT,3054300,7154.16,9.0,5,47.516231,14.550072
9,Canada,CAN,0,6820.89,123.0,43,56.130366,-106.346771
10,Czechia,CZE,0,6394.33,166.0,41,49.817492,15.472962
11,Switzerland,CHE,0,6324.4,162.0,22,46.818188,8.227512
12,Slovakia,SVK,7002190,6287.4,180.0,1,48.669026,19.699024
13,Slovenia,SVN,6006330,5376.0,200.0,1,46.151241,14.995463
14,United Kingdom,GBR,3064870,4735.85,1.0,1,55.378051,-3.435973
15,Switzerland,CHE,6006990,4551.95,21.0,5,46.818188,8.227512
16,Italy,ITA,3047720,4473.0,93.0,5,41.87194,12.56738
17,South Africa,ZAF,0,4316.4,135.0,28,-30.559482,22.937506
18,Austria,AUT,6006680,4051.31,964.0,4,47.516231,14.550072
19,Sweden,SWE,0,3799.82,141.0,25,60.128161,18.643501
20,Chile,CHL,3048530,3675.14,71.0,5,-35.675147,-71.542969
21,Germany,DEU,7007250,3369.24,6.0,4,51.165691,10.451526
22,Austria,AUT,5412860,3290.0,1.0,1,47.516231,14.550072
23,Switzerland,CHE,6005572,3250.0,26.0,1,46.818188,8.227512
24,Germany,DEU,3047680,3084.3,25.0,5,51.165691,10.451526
25,Belgium,BEL,0,3009.9700000000003,134.0,33,50.503887,4.469936
26,Austria,AUT,90001301,2981.5,1.0,1,47.516231,14.550072
27,Austria,AUT,7008580,2966.7,1.0,1,47.516231,14.550072
28,Turkey,TUR,3060670,2660.0,201.0,2,38.963745,35.243322
29,Chile,CHL,0,2645.24,74.0,4,-35.675147,-71.542969
30,Ireland,IRL,3051010,2643.13,2.0,2,53.41291,-8.24389
31,Netherlands,NLD,3045930,2633.13,67.0,8,52.132633,5.291266
32,Austria,AUT,5417010,2631.5,1.0,1,47.516231,14.550072
33,Austria,AUT,5105200,2629.34,1.0,1,47.516231,14.550072
34,Germany,DEU,3066970,2627.8,2.0,2,51.165691,10.451526
35,Switzerland,CHE,3045130,2512.6,83.0,12,46.818188,8.227512
36,Spain,ESP,3042530,2485.7,2.0,1,40.463667,-3.74922
37,Germany,DEU,38000500,2401.1,2.0,2,51.165691,10.451526
38,United Arab Emirates,ARE,7008420,2349.4,3.0,2,23.424076,53.847818
39,Austria,AUT,50301200,2318.0,2.0,1,47.516231,14.550072
40,United States of America,USA,6004970,2274.3,113.0,2,37.09024,-95.712891
41,Poland,POL,3050150,2169.23,4.0,3,51.919438,19.145136
42,Germany,DEU,3045071,2149.8,44.0,9,51.165691,10.451526
43,Germany,DEU,3061960,2099.8,4.0,3,51.165691,10.451526
44,Germany,DEU,6007710,2074.11,34.0,4,51.165691,10.451526
45,Portugal,PRT,0,2041.02,48.0,5,39.399872,-8.224454
46,Slovakia,SVK,0,2034.9800000000002,31.0,9,48.669026,19.699024
47,Germany,DEU,90000890,2028.0,1.0,1,51.165691,10.451526
48,Germany,DEU,3058230,2024.92,6.0,5,51.165691,10.451526
49,Netherlands,NLD,3044432,1996.96,39.0,3,52.132633,5.291266
50,Spain,ESP,3032200,1995.63,6.0,3,40.463667,-3.74922
51,Germany,DEU,5415820,1935.36,3.0,1,51.165691,10.451526
52,Germany,DEU,6007770,1921.42,152.0,3,51.165691,10.451526
53,Romania,ROU,3056870,1900.0,1.0,1,45.943161,24.96676
54,Austria,AUT,6008620,1863.36,36.0,4,47.516231,14.550072
55,Denmark,DNK,6005550,1855.0,500.0,1,56.26392,9.501785
56,Germany,DEU,6005860,1835.44,64.0,4,51.165691,10.451526
57,Germany,DEU,3036601,1806.0,3.0,2,51.165691,10.451526
58,United Arab Emirates,ARE,32100730,1805.3400000000001,10.0,6,23.424076,53.847818
59,United Kingdom,GBR,3045310,1790.8799999999999,2.0,2,55.378051,-3.435973
60,Germany,DEU,3034841,1790.4,6.0,1,51.165691,10.451526
61,Croatia,HRV,6007630,1785.35,2.0,2,45.1,15.2
62,Austria,AUT,5405320,1773.0,3.0,1,47.516231,14.550072
63,Cyprus,CYP,6800070,1757.5,1.0,1,35.126413,33.429859
64,Poland,POL,3055230,1742.3000000000002,2.0,2,51.919438,19.145136
65,Iran,IRN,0,1731.53,1.0,1,32.427908,53.688046
66,Germany,DEU,3051040,1703.3999999999999,20.0,8,51.165691,10.451526
67,Germany,DEU,32400780,1680.2,1.0,1,51.165691,10.451526
68,Netherlands,NLD,3036243,1643.46,10.0,4,52.132633,5.291266
69,Austria,AUT,3028810,1628.97,4.0,3,47.516231,14.550072
70,Germany,DEU,3045590,1621.7,17.0,5,51.165691,10.451526
71,Chile,CHL,6104150,1601.75,28.0,2,-35.675147,-71.542969
72,Switzerland,CHE,3045040,1576.3,25.0,8,46.818188,8.227512
73,Germany,DEU,6007970,1537.6999999999998,7.0,3,51.165691,10.451526
74,Germany,DEU,3043170,1526.1,42.0,7,51.165691,10.451526
75,Poland,POL,3058160,1526.0,29.0,6,51.919438,19.145136
76,Germany,DEU,31015250,1525.01,2.0,2,51.165691,10.451526
77,Austria,AUT,5412900,1501.0,1.0,1,47.516231,14.550072
78,Germany,DEU,7002770,1492.8,30.0,1,51.165691,10.451526
79,Austria,AUT,3058620,1485.3600000000001,8.0,5,47.516231,14.550072
80,Austria,AUT,7005220,1481.06,4.0,3,47.516231,14.550072
81,Austria,AUT,50300470,1474.2,2.0,2,47.516231,14.550072
82,Slovenia,SVN,32000300,1470.9099999999999,2.0,2,46.151241,14.995463
83,Switzerland,CHE,3049370,1461.78,8.0,3,46.818188,8.227512
84,United States of America,USA,3057670,1455.02,2.0,2,37.09024,-95.712891
85,Germany,DEU,32100480,1451.7,2.0,2,51.165691,10.451526
86,Spain,ESP,3042960,1419.88,22.0,8,40.463667,-3.74922
87,Austria,AUT,5411240,1419.7,1.0,1,47.516231,14.550072
88,Germany,DEU,38001290,1417.8,1.0,1,51.165691,10.451526
89,Germany,DEU,3028471,1403.24,10.0,4,51.165691,10.451526
90,Spain,ESP,31016700,1382.77,2.0,2,40.463667,-3.74922
91,Germany,DEU,38001120,1370.8,1.0,1,51.165691,10.451526
92,Germany,DEU,3044960,1360.2,28.0,5,51.165691,10.451526
93,Germany,DEU,3054080,1355.3000000000002,8.0,5,51.165691,10.451526
94,Switzerland,CHE,3048410,1346.41,58.0,11,46.818188,8.227512
95,Austria,AUT,3036170,1337.1599999999999,19.0,5,47.516231,14.550072
96,Austria,AUT,5409480,1334.9,1.0,1,47.516231,14.550072
97,Austria,AUT,5403890,1334.9,1.0,1,47.516231,14.550072
98,Suriname,SUR,6007160,1328.4,12.0,1,3.919305,-56.027783
99,Italy,ITA,3048390,1310.72,4.0,3,41.87194,12.56738
100,Germany,DEU,31019750,1297.83,2.0,2,51.165691,10.451526
101,Austria,AUT,3058520,1291.8799999999999,57.0,5,47.516231,14.550072
102,Germany,DEU,6007600,1285.68,108.0,2,51.165691,10.451526
103,Austria,AUT,5409470,1268.15,1.0,1,47.516231,14.550072
104,Germany,DEU,7005090,1260.8,2.0,2,51.165691,10.451526
105,Dem. Rep. Congo,COD,3055340,1254.1999999999998,38.0,2,-0.228021,15.827659
106,United Kingdom,GBR,3045640,1243.77,3.0,2,55.378051,-3.435973
107,Austria,AUT,31005891,1238.86,1.0,1,47.516231,14.550072
108,Austria,AUT,7007160,1236.2,18.0,4,47.516231,14.550072
109,Germany,DEU,32000220,1235.5,1.0,1,51.165691,10.451526
110,Canada,CAN,7007920,1230.25,1.0,1,56.130366,-106.346771
111,United States of America,USA,3041962,1228.64,2.0,2,37.09024,-95.712891
112,Germany,DEU,31011171,1210.68,3.0,3,51.165691,10.451526
113,Chile,CHL,3054580,1206.46,7.0,3,-35.675147,-71.542969
114,Austria,AUT,3038791,1199.9,1.0,1,47.516231,14.550072
115,Australia,AUS,0,1194.3400000000001,131.0,10,-25.274398,133.775136
116,Germany,DEU,6005510,1186.56,3.0,2,51.165691,10.451526
117,United Kingdom,GBR,3056000,1184.82,14.0,3,55.378051,-3.435973
118,Slovenia,SVN,3205790,1182.72,2.0,1,46.151241,14.995463
119,Poland,POL,3209470,1167.25,14.0,6,51.919438,19.145136
120,Israel,ISR,3050430,1162.8400000000001,33.0,2,31.046051,34.851612
121,Poland,POL,6005110,1162.42,2.0,1,51.919438,19.145136
122,Austria,AUT,3045630,1159.51,61.0,6,47.516231,14.550072
123,Suriname,SUR,0,1156.0,8.0,2,3.919305,-56.027783
124,Netherlands,NLD,6103631,1150.38,4.0,2,52.132633,5.291266
125,Mexico,MEX,3049430,1144.4,1.0,1,23.634501,-102.552784
126,United States of America,USA,3061120,1138.76,8.0,2,37.09024,-95.712891
127,Spain,ESP,31019410,1134.42,3.0,2,40.463667,-3.74922
128,United Kingdom,GBR,3062330,1128.61,5.0,3,55.378051,-3.435973
129,Netherlands,NLD,3036110,1115.51,2.0,2,52.132633,5.291266
130,Austria,AUT,3048620,1112.0,2.0,2,47.516231,14.550072
131,Netherlands,NLD,3043070,1092.56,42.0,5,52.132633,5.291266
132,Germany,DEU,3055990,1092.46,57.0,4,51.165691,10.451526
133,Germany,DEU,3061150,1083.32,9.0,5,51.165691,10.451526
134,Italy,ITA,3063660,1082.8,3.0,2,41.87194,12.56738
135,Italy,ITA,3045300,1080.8700000000001,3.0,3,41.87194,12.56738
136,Italy,ITA,3044660,1080.3400000000001,2.0,2,41.87194,12.56738
137,United States of America,USA,3034920,1070.3,1.0,1,37.09024,-95.712891
138,Finland,FIN,0,1066.02,27.0,10,61.892635,-6.911806
139,United Kingdom,GBR,3055470,1064.8400000000001,4.0,2,55.378051,-3.435973
140,Germany,DEU,3064920,1054.8,1.0,1,51.165691,10.451526
141,Switzerland,CHE,3028620,1054.02,1.0,1,46.818188,8.227512
142,Germany,DEU,31026310,1052.45,2.0,2,51.165691,10.451526
143,Germany,DEU,7004231,1049.0,30.0,2,51.165691,10.451526
144,Austria,AUT,3034770,1044.8,25.0,3,47.516231,14.550072
145,Austria,AUT,3047540,1040.32,7.0,3,47.516231,14.550072
146,Chile,CHL,3069490,1036.58,1.0,1,-35.675147,-71.542969
147,Germany,DEU,3063030,1031.1399999999999,5.0,2,51.165691,10.451526
148,Suriname,SUR,32302730,1021.6,2.0,2,3.919305,-56.027783
149,Germany,DEU,38000260,1018.4,5.0,4,51.165691,10.451526
150,Spain,ESP,6006340,1014.1600000000001,28.0,3,40.463667,-3.74922
151,Romania,ROU,6009050,1010.9,36.0,4,45.943161,24.96676
152,Austria,AUT,38000310,1009.8199999999999,2.0,2,47.516231,14.550072
153,Germany,DEU,31008531,1000.0999999999999,3.0,2,51.165691,10.451526
154,Switzerland,CHE,31005551,1000.0,1.0,1,46.818188,8.227512
155,Germany,DEU,7007960,991.91,7.0,3,51.165691,10.451526
156,Portugal,PRT,3042680,984.27,7.0,3,39.399872,-8.224454
157,Thailand,THA,31021320,978.2099999999999,5.0,2,15.870032,100.992541
158,Germany,DEU,3034740,977.92,11.0,5,51.165691,10.451526
159,Austria,AUT,6103310,976.22,4.0,2,47.516231,14.550072
160,Austria,AUT,3033460,976.0,4.0,1,47.516231,14.550072
161,Poland,POL,3041794,974.75,6.0,3,51.919438,19.145136
162,Russia,RUS,3049250,967.4,30.0,2,61.52401,105.318756
163,United States of America,USA,3021160,960.0,4.0,1,37.09024,-95.712891
164,Austria,AUT,3033020,958.95,1.0,1,47.516231,14.550072
165,United Arab Emirates,ARE,3065840,958.86,9.0,4,23.424076,53.847818
166,Germany,DEU,38000970,937.8,2.0,2,51.165691,10.451526
167,Poland,POL,3060570,929.74,44.0,3,51.919438,19.145136
168,Poland,POL,3034090,924.1400000000001,2.0,2,51.919438,19.145136
169,Germany,DEU,3039200,923.28,3.0,2,51.165691,10.451526
170,Germany,DEU,3019340,921.0999999999999,2.0,2,51.165691,10.451526
